horizon_days,feature,driver_group,feature_value,standardized_value,coefficient,contribution_log_return,contribution_cop_approx,direction
60,brent,global_risk,69.56,0.1332856628992443,0.0,0.0,0.0,neutral
60,treasury_2y,rates_and_carry,4.26,1.0291116936953546,0.0,0.0,0.0,neutral
60,treasury_10y,rates_and_carry,4.62,0.9016415358394754,0.0,0.0,0.0,neutral
60,trm_chg_1,technical_fx,3.2400000000002365,0.13589767816503484,0.0,0.0,0.0,neutral
60,trm_pct_1,technical_fx,0.0009972698199682828,0.12176411069486298,0.0,0.0,0.0,neutral
60,trm_pct_5,technical_fx,-0.02500074951281661,-1.468120894388118,0.0,-0.0,-0.0,neutral
60,trm_z_60,technical_fx,-1.955349525403085,-1.4005142181334076,0.0,-0.0,-0.0,neutral
60,policy_rate_level,rates_and_carry,12.0,1.4137688054832136,0.0,0.0,0.0,neutral
60,policy_rate_chg_1,rates_and_carry,0.0,0.020679661879648127,-0.0,-0.0,-0.0,neutral
60,policy_rate_pct_1,rates_and_carry,0.0,0.0024248967325132538,0.0,0.0,0.0,neutral
60,policy_rate_pct_5,rates_and_carry,0.0,0.005422297700259177,0.0,0.0,0.0,neutral
60,policy_rate_z_60,rates_and_carry,2.0929173491365414,1.7412920853775518,-0.0,-0.0,-0.0,neutral
60,ibr_on_level,rates_and_carry,11.183,2.3481502505265404,-0.0,-0.0,-0.0,neutral
60,ibr_on_chg_1,rates_and_carry,0.002000000000000668,0.03152046556850352,0.0,0.0,0.0,neutral
60,ibr_on_pct_1,rates_and_carry,0.0001788748770235049,0.00836536040011327,0.0,0.0,0.0,neutral
60,ibr_on_pct_5,rates_and_carry,-0.0007148601554821665,-0.044608537102454264,0.0,-0.0,-0.0,neutral
60,ibr_on_z_60,rates_and_carry,2.081320247768014,1.6276484544518852,0.0,0.0,0.0,neutral
60,reserves_level,external_flows,66957.39,1.6617010811540003,-0.0,-0.0,-0.0,neutral
60,reserves_chg_1,external_flows,0.0,-0.0833272796308214,0.0,-0.0,-0.0,neutral
60,reserves_pct_1,external_flows,0.0,-0.07144478987260691,-0.0,0.0,0.0,neutral
60,reserves_pct_5,external_flows,0.0,-0.16141171108124636,-0.0,0.0,0.0,neutral
60,reserves_z_60,external_flows,-0.6993594824923999,-0.9201624407960447,0.0,-0.0,-0.0,neutral
60,tes_cop_1y_level,rates_and_carry,12.09,2.156933078825608,-0.0,-0.0,-0.0,neutral
60,tes_cop_1y_chg_1,rates_and_carry,0.0,-0.002706137993615214,0.0,-0.0,-0.0,neutral
60,tes_cop_1y_pct_1,rates_and_carry,0.0,-0.012092946703018298,-0.0,0.0,0.0,neutral
60,tes_cop_1y_pct_5,rates_and_carry,-0.00738916256157629,-0.07618569709552903,-0.0,0.0,0.0,neutral
60,tes_cop_1y_z_60,rates_and_carry,-1.2348998119421888,-0.9188305421030168,-0.0,0.0,0.0,neutral
